experiment,hamming_loss,f1_micro,f1_macro,avg_labels_pred,n_features,what_changed,model,features
8,0.052000247325789895,0.6360882734746863,0.5656940801723205,1.9065108514190316,15000,LinearSVC + Type prefix (combine Exp 2 & 6),LinearSVC,TF-IDF + Type
6,0.05212391022073827,0.63585313174946,0.564239095294494,1.9131886477462436,15000,LinearSVC instead of LogReg,LinearSVC,TF-IDF 15k
9,0.05552463983181846,0.4191461836998706,0.24744858129994485,0.6293823038397329,15000,LogReg without class_weight=balanced,LogReg (no weight),TF-IDF 15k
3,0.06065664997217585,0.6222564497497112,0.5481126598784554,2.383973288814691,14239,Unigrams only (no bigrams),LogReg,TF-IDF unigrams
10,0.06065664997217585,0.6207962891379977,0.5492975410683356,2.367278797996661,25000,Increase TF-IDF vocabulary to 25k features,LogReg,TF-IDF 25k
2,0.060718481419650035,0.6263318112633182,0.5539882008965704,2.4357262103505843,15000,Prepend document Type (Grant/Tender/News),LogReg,TF-IDF 15k + Type
7,0.061460458789340255,0.6200305810397554,0.5496121105123982,2.4156928213689484,15000,Drop terms in >85% of documents (max_df=0.85),LogReg,TF-IDF + max_df
1,0.061460458789340255,0.6200305810397554,0.5496121105123982,2.4156928213689484,15000,"TF-IDF (1–2 grams, 15k) + LogReg OvR, best preprocessing",LogReg,TF-IDF 15k
4,0.06912755827613924,0.5880619012527635,0.5083346871492251,2.5792988313856426,15000,"Raw text, no HTML cleaning",LogReg,TF-IDF 15k
5,0.10381500030915723,0.5345162184640976,0.4794057331808751,4.070116861435726,15000,LogReg with probability threshold 0.35,LogReg,TF-IDF 15k
